"filename", "language", "HTML", "JavaScript", "CSS", "SCSS", "XML", "comment", "blank", "total"
"c:\Other Files\Git\HTML\Clean\css\about.css", "CSS", 0, 0, 1, 0, 0, 1, 0, 2
"c:\Other Files\Git\HTML\Clean\css\boiler.css", "CSS", 0, 0, 1, 0, 0, 1, 0, 2
"c:\Other Files\Git\HTML\Clean\css\contact.css", "CSS", 0, 0, 3, 0, 0, 1, 0, 4
"c:\Other Files\Git\HTML\Clean\css\footer.css", "CSS", 0, 0, 1, 0, 0, 1, 0, 2
"c:\Other Files\Git\HTML\Clean\css\hero.css", "CSS", 0, 0, 1, 0, 0, 1, 0, 2
"c:\Other Files\Git\HTML\Clean\css\navbar.css", "CSS", 0, 0, 1, 0, 0, 1, 0, 2
"c:\Other Files\Git\HTML\Clean\css\projects.css", "CSS", 0, 0, 1, 0, 0, 1, 0, 2
"c:\Other Files\Git\HTML\Clean\css\submit-success.css", "CSS", 0, 0, 1, 0, 0, 1, 0, 2
"c:\Other Files\Git\HTML\Clean\images\Lukas Schulte.html", "HTML", 279, 0, 0, 0, 0, 7, 9, 295
"c:\Other Files\Git\HTML\Clean\images\Lukas Schulte_files\about.css", "CSS", 0, 0, 1, 0, 0, 1, 0, 2
"c:\Other Files\Git\HTML\Clean\images\Lukas Schulte_files\boiler.css", "CSS", 0, 0, 1, 0, 0, 1, 0, 2
"c:\Other Files\Git\HTML\Clean\images\Lukas Schulte_files\contact.css", "CSS", 0, 0, 1, 0, 0, 1, 0, 2
"c:\Other Files\Git\HTML\Clean\images\Lukas Schulte_files\embed.html", "HTML", 26, 0, 0, 0, 0, 1, 3, 30
"c:\Other Files\Git\HTML\Clean\images\Lukas Schulte_files\footer.css", "CSS", 0, 0, 1, 0, 0, 1, 0, 2
"c:\Other Files\Git\HTML\Clean\images\Lukas Schulte_files\hero.css", "CSS", 0, 0, 1, 0, 0, 1, 0, 2
"c:\Other Files\Git\HTML\Clean\images\Lukas Schulte_files\modern.svg", "XML", 0, 0, 0, 0, 38, 0, 0, 38
"c:\Other Files\Git\HTML\Clean\images\Lukas Schulte_files\navbar.css", "CSS", 0, 0, 1, 0, 0, 1, 0, 2
"c:\Other Files\Git\HTML\Clean\images\Lukas Schulte_files\saved_resource.html", "HTML", 1, 0, 0, 0, 0, 1, 1, 3
"c:\Other Files\Git\HTML\Clean\images\Lukas Schulte_files\send.svg", "XML", 0, 0, 0, 0, 39, 1, 1, 41
"c:\Other Files\Git\HTML\Clean\images\arrow-down.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Other Files\Git\HTML\Clean\images\back-arrow.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Other Files\Git\HTML\Clean\images\bent-arrow.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Other Files\Git\HTML\Clean\images\computer.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Other Files\Git\HTML\Clean\images\github.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Other Files\Git\HTML\Clean\images\hamburger.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Other Files\Git\HTML\Clean\images\instagram.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Other Files\Git\HTML\Clean\images\itch.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Other Files\Git\HTML\Clean\images\leetcode.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Other Files\Git\HTML\Clean\images\logo_.svg", "XML", 0, 0, 0, 0, 18, 0, 1, 19
"c:\Other Files\Git\HTML\Clean\images\modern.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Other Files\Git\HTML\Clean\images\semi-circle.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Other Files\Git\HTML\Clean\images\send.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Other Files\Git\HTML\Clean\images\x.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Other Files\Git\HTML\Clean\index.html", "HTML", 438, 0, 0, 0, 0, 19, 10, 467
"c:\Other Files\Git\HTML\Clean\js\colorChanger.js", "JavaScript", 0, 4, 0, 0, 0, 0, 2, 6
"c:\Other Files\Git\HTML\Clean\js\hamburger-menu.js", "JavaScript", 0, 9, 0, 0, 0, 0, 1, 10
"c:\Other Files\Git\HTML\Clean\js\nav-btn-active.js", "JavaScript", 0, 32, 0, 0, 0, 1, 8, 41
"c:\Other Files\Git\HTML\Clean\js\navbar-scroll.js", "JavaScript", 0, 20, 0, 0, 0, 0, 3, 23
